Tuotekoodi;Laatu;Määrittely;Tuotenimi;Paksuus;Tuoteryhmä;Lisänimi;Halkaisija;Seinämä;Muu mitta;Pinta;Yksikkö paino;Paineluokka;Lisätiedot;Toleranssi;Sisähalkaisija;Leveys;Paksuus;Korkeus/pituus;Eräkoko
1201209;AISI 316;"3/4""-1/2""";SUPISTUSKAKSOISNIPPA;0;Supistuskaksoisnippa;;"3/4""";;"1/2""";;0,09;;;;;;;;1
1201211;AISI 316;"1""-3/8""";SUPISTUSKAKSOISNIPPA;0;Supistuskaksoisnippa;;"1""";;"3/8""";;0,1;;;;;;;;1
1201212;AISI 316;"1""-1/2""";SUPISTUSKAKSOISNIPPA;0;Supistuskaksoisnippa;;"1""";;"1/2""";;0,11;;;;;;;;1
1201213;AISI 316;"1""-3/4""";SUPISTUSKAKSOISNIPPA;0;Supistuskaksoisnippa;;"1""";;"3/4""";;0,13;;;;;;;;1
1201215;AISI 316;"1 1/4""-1/2""";SUPISTUSKAKSOISNIPPA;0;Supistuskaksoisnippa;;"1 1/4""";;"1/2""";;0,2;;;;;;;;1
1201216;AISI 316;"1 1/4""-3/4""";SUPISTUSKAKSOISNIPPA;0;Supistuskaksoisnippa;;"1 1/4""";;"3/4""";;0,25;;;;;;;;1
1201217;AISI 316;"1 1/4""-1""";SUPISTUSKAKSOISNIPPA;0;Supistuskaksoisnippa;;"1 1/4""";;"1""";;0,26;;;;;;;;1
1201219;AISI 316;"1 1/2""-1/2""";SUPISTUSKAKSOISNIPPA;0;Supistuskaksoisnippa;;"1 1/2""";;"1/2""";;0,28;;;;;;;;1
1201220;AISI 316;"1 1/2""-3/4""";SUPISTUSKAKSOISNIPPA;0;Supistuskaksoisnippa;;"1 1/2""";;"3/4""";;0,3;;;;;;;;1
1201221;AISI 316;"1 1/2""-1""";SUPISTUSKAKSOISNIPPA;0;Supistuskaksoisnippa;;"1 1/2""";;"1""";;0,3;;;;;;;;1
1201222;AISI 316;"1 1/2""-1 1/4""";SUPISTUSKAKSOISNIPPA;0;Supistuskaksoisnippa;;"1 1/2""";;"1 1/4""";;0,29;;;;;;;;1
1201228;AISI 316;"2""-1""";SUPISTUSKAKSOISNIPPA;0;Supistuskaksoisnippa;;"2""";;"1""";;0,5;;;;;;;;1
1201229;AISI 316;"2""-1 1/4""";SUPISTUSKAKSOISNIPPA;0;Supistuskaksoisnippa;;"2""";;"1 1/4""";;0,5;;;;;;;;1
1201230;AISI 316;"2""-1 1/2""";SUPISTUSKAKSOISNIPPA;0;Supistuskaksoisnippa;;"2""";;"1 1/2""";;0,48;;;;;;;;1
1201236;AISI 316;"2 1/2""-1 1/2""";SUPISTUSKAKSOISNIPPA;0;Supistuskaksoisnippa;;"2 1/2""";;"1 1/2""";;0,48;;;;;;;;1
1201238;AISI 316;"2 1/2""-2""";SUPISTUSKAKSOISNIPPA;0;Supistuskaksoisnippa;;"2 1/2""";;"2""";;0,82;;;;;;;;1
1201239;AISI 316;"3""-1 1/2""";SUPISTUSKAKSOISNIPPA;0;Supistuskaksoisnippa;;"3""";;"1 1/2""";;1;;;;;;;;1
1201240;AISI 316;"3""-2""";SUPISTUSKAKSOISNIPPA;0;Supistuskaksoisnippa;;"3""";;"2""";;1,08;;;;;;;;1
